Name,Margin,Minutes,FGA,FGM,3PA,3PM,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points
Jazian Gortman,-12,1.02,0,0,0,0,0,0,0,0,0,1,0,0
Craig Porter,61,13.15,5,2,2,0,0,2,2,0,2,0,0,4
Tari Eason,23,87.66,31,17,11,4,7,18,8,9,3,1,11,42
Robert Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Gobert,0,140.12,23,14,0,0,10,45,5,3,5,7,14,38
Scoot Henderson,-28,138.99,59,26,17,5,3,17,28,4,0,16,18,78
Javonte Green,-41,105.13,16,8,8,3,7,19,4,8,4,4,6,27
Micah Potter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richaun Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Huerter,24,105.82,34,19,24,10,1,12,5,4,4,1,9,48
Brandon Clarke,2,88.41,27,14,4,0,6,20,5,4,0,3,7,34
Aaron Holiday,20,2.22,1,0,1,0,0,0,1,0,0,0,0,0
Joel Embiid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Jones,3,148.19,45,24,16,8,9,20,6,9,2,7,14,59
Derrick White,57,165.92,60,33,38,18,4,19,20,4,5,4,10,96
Olivier-Maxence Prosper,7,6.85,0,0,0,0,0,0,0,0,0,0,1,0
Drew Eubanks,-76,30.43,5,3,1,1,5,8,4,0,2,3,4,10
Jeff Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mac McClung,-13,4.88,0,0,0,0,0,1,2,0,0,0,0,0
DeMar DeRozan,24,147.7,58,32,7,2,3,16,16,8,1,6,4,92
Evan Mobley,91,145.53,67,38,8,4,7,41,11,6,10,11,16,96
Marvin Bagley,-24,28.43,15,8,3,0,7,15,1,0,1,3,1,21
Santi Aldama,2,171.62,62,32,28,11,8,42,19,3,4,11,7,83
Yongxi Cui,26,3.09,0,0,0,0,0,0,0,0,0,0,0,1
Kelly Oubre,-29,138.35,67,28,22,6,6,19,4,4,0,8,14,76
Taurean Prince,-43,153.26,30,15,17,8,5,26,10,7,0,5,14,38
Christian Braun,-13,141.74,39,21,11,4,5,21,7,4,7,5,11,56
Gui Santos,110,15.14,2,1,1,0,0,4,2,0,0,2,3,3
Josh Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,-3,96.29,26,12,19,9,5,12,13,5,1,7,12,41
Shaedon Sharpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Nance,-15,29.99,10,7,5,3,3,3,4,2,1,1,4,17
Michael Porter,-13,150.23,53,21,27,8,6,31,9,4,1,3,9,53
Andrew Nembhard,-24,126.43,35,14,9,1,0,9,25,5,0,9,9,35
Nicolas Batum,3,95.11,14,5,11,3,4,17,14,3,5,3,12,16
Cam Whitmore,23,61.84,37,14,14,1,3,8,1,0,1,2,7,35
Garrison Mathews,-34,87.32,27,12,24,12,1,4,6,4,0,3,13,42
Miles Bridges,-3,121.46,53,21,24,6,3,26,6,1,4,8,6,60
Cade Cunningham,-22,183.44,102,48,35,14,4,28,37,5,6,28,14,128
Tyrese Haliburton,-24,173.01,78,27,44,11,5,25,33,7,3,9,12,73
Gradey Dick,-40,155.04,68,33,32,11,3,7,8,5,3,6,16,94
Jalen Smith,-17,54.7,26,14,14,8,8,23,2,2,0,1,10,46
Blake Wesley,-7,45.52,19,7,7,1,2,4,6,0,0,5,2,19
Pacome Dadiet,2,17.78,4,1,2,1,0,2,0,0,0,1,2,3
Jake LaRavia,2,151.73,36,16,12,3,12,40,19,3,2,7,14,45
Brandon Miller,5,10.73,4,2,2,1,1,1,1,1,0,1,0,6
Klay Thompson,7,147.41,64,28,49,19,4,15,6,6,0,2,7,78
Kel'el Ware,-19,6.25,1,0,1,0,0,1,0,0,0,1,1,0
Jabari Smith,23,158.35,48,20,21,6,14,42,7,2,3,6,19,60
Draymond Green,102,125.72,24,10,12,6,2,20,22,6,9,10,19,30
Jaren Jackson,20,101.47,50,28,13,4,3,19,4,5,3,8,14,75
Alex Reese,24,1.88,1,1,0,0,1,1,0,0,0,0,0,2
Cason Wallace,70,104.76,33,12,12,2,4,15,5,10,1,3,7,27
Markieff Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keon Johnson,6,34.72,11,3,7,0,2,10,1,1,0,1,4,6
Tobias Harris,-22,173.74,62,23,20,3,5,42,10,3,5,8,17,58
N'Faly Dante,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jusuf Nurkić,18,109.42,34,14,13,2,5,37,9,2,4,19,14,46
Tristan Thompson,73,19.09,4,3,0,0,0,5,1,0,0,2,1,6
Bryce McGowens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day'Ron Sharpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patty Mills,-86,78.29,17,6,13,4,1,4,4,4,2,4,4,16
Wendell Carter,22,149.19,33,15,14,2,11,52,11,6,2,3,13,44
Devin Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack McVeigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Missi,-41,99.13,28,13,0,0,11,26,9,3,9,4,8,34
Dominick Barlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Sarr,-24,96.97,37,11,21,5,7,25,5,3,10,2,11,32
Nick Richards,-3,121.7,32,21,1,0,19,47,8,2,10,6,13,54
LeBron James,-10,167.89,78,38,26,10,1,34,33,1,3,17,10,106
Lauri Markkanen,-68,113.75,52,20,20,9,8,29,7,1,0,7,4,72
Dalton Knecht,-10,82.98,31,14,20,7,0,6,6,2,0,3,5,41
Kristaps Porziņģis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Jackson,-30,68.3,20,11,0,0,11,20,4,3,7,5,13,29
Anthony Black,22,128.21,34,15,9,4,5,16,21,3,7,8,15,42
Donovan Mitchell,91,150.79,90,45,42,16,3,13,25,10,1,15,12,119
Anfernee Simons,-28,169.51,85,33,42,13,0,8,25,4,0,16,7,103
Bilal Coulibaly,-24,136.35,44,26,19,8,8,23,11,6,1,10,10,75
JT Thor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Olynyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenrich Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Hukporti,-4,23.7,1,0,0,0,0,7,0,0,4,2,2,0
Tyus Jones,18,162.11,41,19,20,7,2,18,35,7,2,4,4,47
Alondes Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious Achiuwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deni Avdija,-28,142.32,46,14,18,2,6,33,14,7,6,11,10,50
Zach Edey,2,106.36,43,25,3,1,13,30,2,3,2,3,20,54
Trey Alexander,-15,1.63,0,0,0,0,0,1,0,0,0,0,0,0
Tyrese Maxey,-29,167.73,111,42,48,11,0,15,18,5,3,8,12,126
Andrew Wiggins,69,75.57,40,22,19,11,7,20,7,1,3,3,8,59
Carlton Carrington,-24,105.1,27,12,12,6,0,14,14,1,2,7,14,42
Jericho Sims,5,52.38,5,4,0,0,5,15,1,0,2,1,4,8
Kyle Lowry,-29,90.18,19,10,15,9,0,9,12,6,1,3,10,36
Jalen Pickett,-15,1.63,1,0,1,0,0,0,0,0,0,0,0,0
Jay Huff,2,101.76,34,20,20,10,2,14,4,2,8,3,12,57
Ziaire Williams,2,99.1,39,22,16,9,6,18,9,6,3,7,15,58
Justin Minaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Konchar,-31,56.55,6,4,6,4,3,14,3,2,2,2,4,15
Harrison Barnes,-7,139.76,37,20,15,6,6,16,4,2,2,3,3,56
Jonathan Mogbo,-40,82.77,24,12,4,1,8,19,9,6,5,5,8,38
Keon Ellis,28,42.93,8,3,4,1,2,8,3,5,4,3,7,10
Monte Morris,18,48.28,16,6,9,3,2,6,8,3,0,1,1,21
Mitchell Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dereck Lively,7,117.5,27,19,0,0,16,38,14,5,5,5,19,45
Jerami Grant,-28,165.16,84,32,42,15,3,24,9,5,9,12,12,93
Tyler Smith,-43,14.93,5,3,3,1,1,3,0,0,0,1,3,7
